ADDRESS,ZIP CODE,SALE PRICE,SALE DATE
"4901 HENRY HUDSON PKWY, 5N",10471,125000,2017-06-22
"4901 HENRY HUDSON PKWY, 7J",10471,405000,2017-07-11
"3777 INDEPENDENCE AVENUE, 6B",10463,487000,2016-10-06
"3777 INDEPENDENCE AVENUE, 9B",10463,585000,2017-02-01
"3777 INDEPENDENCE AVENUE, 3B",10463,485000,2017-03-15
"3777 INDEPENDENCE AVENUE, 8J",10463,369000,2017-04-13
"3777 INDEPENDENCE AVE, 6E",10463,159000,2017-06-20
"3777 INDEPENDENCE AVE, 5A",10463,339500,2017-06-15
"3777 INDEPENDENCE AVENUE, 9L",10463,815000,2017-06-12
"3777 INDEPENDENCE AVENUE, 1N",10463,144000,2017-08-17
"3750 HUDSON MANOR TERRACE, 1DW",10463,180000,2016-12-01
"3750 HUDSON MANOR TERRACE, 1EE",10463,187500,2017-06-01
"3750 HUDSON MANOR TERRACE, 2AW",10463,299900,2017-05-30
"3750 HUDSON MANOR TERRACE, 6AE",10463,297950,2017-08-07
"3750 HUDSON MANOR TERRACE, 1DE",10463,150000,2017-07-25
"3750 HUDSON MANOR TERRACE, 16GE",10463,277500,2017-07-25
"3750 HUDSON MANOR TERRACE, 1FE",10463,480000,2017-08-23
"3850 HUDSON MANOR TERRACE, 5AE",10463,287500,2016-09-27
"3850 HUDSON MANOR TERRACE, AE",10463,245000,2016-12-06
"3850 HUDSON MANOR TERRACE, 5D-E",10463,315000,2017-03-03
"3850 HUDSON MANOR TERRACE, LBE",10463,335634,2017-05-09
"3850 HUDSON MANOR TERRACE, 5HE",10463,318000,2017-06-27
"3850 HUDSON MANOR TERRACE, 1BW",10463,285000,2017-06-22
"3850 HUDSON MANOR TERRACE, 2H",10463,300000,2017-07-25
"3901 INDEPENDENCE AVENUE, 1R",10463,290000,2016-10-25
"3901 INDEPENDENCE AVE, 3M",10463,135000,2017-05-01
"3901 INDEPENDENCE AVENUE, 4F",10463,245000,2017-07-31
"3901 INDEPENDENCE AVE, 5K",10463,108000,2017-08-14
"3901 INDEPENDENCE AVE, 3H",10463,155000,2017-08-31
"679 WEST 239TH STREET, 6H",10463,309000,2016-12-29
"679 WEST 239 STREET, 2C",10463,250000,2017-02-07
"679 WEST 239 STREET, 2A",10463,352893,2017-06-17
"3671 HUDSON MANOR TERRACE, 17G",10463,133000,2016-11-09
"3671 HUDSON MANOR TERRACE, 12M",10463,189000,2016-12-07
"5355 HENRY HUDSON PKWY W, 8C",10471,195000,2016-10-21
"5355 HENRY HUDSON PARKWAY, 8A",10471,225000,2017-04-19
"5355 HENRY HUDSON PARKWAY, 7A",10471,216000,2017-08-29
"5440 NETHERLAND AVE., D52",10471,317000,2017-02-08
"5440 NETHERLAND AVENUE, D12",10471,311500,2017-02-14
"5420 NETHERLAND, B-15",10471,110000,2017-04-03
"5420 NETHERLAND AVENUE, B12",10471,146500,2017-05-09
"5430 NETHERLAND AVENUE, C-53",10471,375000,2017-06-09
"5420 NETHERLAND AVENUE, B63",10471,175000,2017-07-20
"5420 NETHERLAND AVE, B35",10471,225000,2017-08-09
"5424 ARLINGTON AVENUE, H33",10471,332500,2016-10-14
"5444 ARLINGTON AVENUE, G61",10471,160000,2017-02-27
"5444 ARLINGTON AVENUE, G-11",10471,225000,2017-05-17
"5415 NETHERLAND AVENUE, K54",10471,220000,2017-06-09
"5424 ARLINGTON AVE, H31",10471,295000,2017-07-20
"5700 ARLINGTON AVENUE, 17A",10471,240000,2016-09-12
"5700 ARLINGTON AVENUE, 2-O",10471,118000,2016-09-26
"5700 ARLINGTON AVENUE, 9B",10471,580000,2016-10-14
"5700 ARLINGTON AVENUE, 21T",10471,281000,2016-10-11
"5700 ARLINGTON AVENUE, 10R",10471,182000,2016-10-04
"5700 ARLINGTON AVENUE, 20E",10471,165000,2016-10-31
"5700 ARLINGTON AVENUE, 19D",10471,235000,2016-09-08
"5700 ARLINGTON AVENUE, 3H",10471,337500,2016-12-23
"5700 ARLINGTON AVENUE, 17C",10471,390000,2017-01-03
"5700 ARLINGTON AVENUE, 19L",10471,200000,2016-12-28
"5700 ARLINGTON AVENUE, 7G",10471,380000,2016-12-29
"5700 ARLINGTON AVENUE, 4L",10471,238000,2017-01-09
"5700 ARLINGTON AVENUE, 1B",10471,34953715,2017-01-31
"5700 ARLINGTON AVENUE, 1L",10471,192000,2017-01-09
"5700 ARLINGTON AVENUE, 16F",10471,245000,2017-04-04
"5700 ARLINGTON AVENUE, 22F",10471,265000,2017-04-25
"5700 ARLINGTON AVENUE, 21L",10471,290000,2017-06-20
"5700 ARLINGTON AVE, 9X",10471,250000,2017-06-21
"5700 ARLINGTON AVENUE, 8A",10471,209000,2017-06-26
"5700 ARLINGTON AVENUE, 10L",10471,207000,2017-06-28
"5700 ARLINGTON AVENUE, 4J",10471,430000,2017-07-19
"5700 ARLINGTON AVENUE, 18JK",10471,725000,2017-07-21
"5700 ARLINGTON AVENUE, 20D",10471,190000,2017-07-14
"5800 ARLINGTON AVENUE, 11E",10471,165000,2016-09-08
"5800 ARLINGTON AVE, 9V",10471,355000,2016-10-20
"5800 ARLINGTON AVENUE, 2H",10471,323000,2016-10-19
"5800 ARLINGTON AVENUE, 8A",10471,185000,2016-11-10
"5800 ARLINGTON AVENUE, 16O",10471,177500,2016-12-20
"5800 ARLINGTON AVENUE, 15D",10471,215000,2017-01-20
"5800 ARLINGTON AVENUE, 5R",10471,162000,2017-02-10
"5800 ARLINGTON AVENUE, 3L",10471,109000,2017-03-20
"5800 ARLINGTON AVENUE, 4R",10471,158000,2017-04-13
"5800 ARLINGTON AVENUE, 17A",10471,200000,2017-05-11
"5800 ARLINGTON AVENUE, 10X",10471,250000,2017-06-14
"5800 ARLINGTON AVENUE, 19H",10471,385000,2017-07-06
"5800 ARLINGTON AVENUE, 20E",10471,229000,2017-07-19
"5800 ARLINGTON AVENUE, 2F",10471,255000,2017-07-19
"5800 ARLINGTON AVENUE, 7U",10471,465000,2017-07-24
"5800 ARLINGTON AVENUE, 9S",10471,285000,2017-08-22
"5900 ARLINGTON AVENUE, 21U",10471,575000,2016-09-12
"5900 ARLINGTON AVENUE, 9V",10471,350000,2016-10-07
"5900 ARLINGTON AVENUE, 18P",10471,149000,2016-10-11
"5900 ARLINGTON AVENUE, 12W",10471,390000,2016-10-11
"5900 ARLINGTON AVENUE, 16-T",10471,263000,2016-10-20
"5900 ARLINGTON AVENUE, 15S",10471,277000,2016-11-04
"5900 ARLINGTON AVENUE, 8E",10471,159000,2016-11-04
"5900 ARLINGTON AVENUE, 8U",10471,420000,2016-12-07
"5900 ARLINGTON AVENUE, 16L",10471,207000,2016-11-23
"5900 ARLINGTON AVENUE, 21H",10471,315000,2016-12-15
"5900 ARLINGTON AVENUE, 7M",10471,193000,2016-12-15
"5900 ARLINGTON AVENUE, 15F",10471,245000,2016-12-22
"5900 ARLINGTON AVENUE, 19N",10471,145000,2017-01-17
"5900 ARLINGTON AVE, 22G",10471,410000,2017-01-23
"5900 ARLINGTON AVENUE, 11H",10471,320000,2017-02-08
"5900 ARLINGTON AVENUE, 18S",10471,257000,2017-02-08
"5900 ARLINGTON AVENUE, 1C",10471,420000,2017-02-02
"5900 ARLINGTON AVENUE, 4O",10471,134000,2017-04-27
"5900 ARLINGTON AVENUE, 6J",10471,460000,2017-06-07
"5900 ARLINGTON AVENUE, 7L",10471,240000,2017-07-17
"5900 ARLINGTON AVENUE, 310",10471,164500,2017-07-21
"5900 ARLINGTON AVENUE, 1D",10471,210000,2017-07-20
"5900 ARLINGTON AVE, 2C",10471,423000,2017-08-04
"5601 RIVERDALE AVE, 4R",10471,151000,2016-10-14
"5601 RIVERDALE AVE, 1L",10471,85000,2016-12-28
"5601 RIVERDALE AVENUE, 3S",10471,150300,2017-01-23
"5601 RIVERDALE AVENUE, 6C",10471,185000,2017-02-28
"5601 RIVERDALE AVENUE, 1O",10471,294000,2017-05-24
"5601 RIVERDALE AVENUE, 4S",10471,155000,2017-08-08
"5601 RIVERDALE AVENUE, 7M",10471,200000,2017-08-24
5635 NETHERLAND AVENUE,10471,150000,2017-06-27
"5610 NETHERLAND AVENUE, 3A",10471,220000,2016-09-12
"5650 NETHERLAND AVENUE, 6G",10471,192000,2016-10-06
"5650 NETHERLAND AVE, 1A",10471,237500,2016-10-25
"5644 NETHERLAND AVE, 6E",10471,105000,2016-11-15
"5614 NETHERLAND AVENUE, 4D",10471,105000,2016-12-02
"5621 NETHERLAND AVENUE, 6C",10471,115000,2016-11-29
"5639 NETHERLAND AVENUE, 2F",10471,86500,2016-10-14
"5610-5650 NETHERLAND AVENUE, 102G",10471,3861567,2016-12-19
"5615 NETHERLAND AVENUE, 4B",10471,139000,2016-12-20
"5635 NETHERLAND AVE, 2G",10471,205500,2017-01-20
"5635 NETHERLAND AVENUE, 5F",10471,75000,2017-02-10
"5635 NETHERLAND AVENUE, 3E",10471,125000,2017-04-12
"5650 NETHERLAND AVENUE, 6B",10471,160000,2017-05-03
"5614 NETHERLAND AVENUE, 6E",10471,123000,2017-06-30
"5635 NETHERLAND AVENUE, 3C",10471,150000,2017-06-27
4993 HENRY HUDSON PKWY W,10471,470000,2016-10-20
2287 JOHNSON AVENUE,10463,625000,2016-09-21
2287 JOHNSON AVENUE,10463,614500,2017-01-30
2287 JOHNSON AVENUE,10463,560000,2017-03-15
2287 JOHNSON AVENUE,10463,332500,2016-10-13
2287 JOHNSON AVENUE,10463,327500,2016-11-23
2287 JOHNSON AVENUE,10463,335000,2016-12-23
2287 JOHNSON AVE,10463,355000,2016-10-03
2287 JOHNSON AVE,10463,317500,2017-06-16
2287 JOHNSON AVENUE,10463,340000,2016-10-17
2287 JOHNSON AVENUE,10463,1249000,2017-07-06
2287 JOHNSON AVENUE,10463,787500,2017-06-21
445 WEST 240 STREET,10463,385000,2017-07-13
445 WEST 240 STREET,10463,272500,2017-01-23
445 WEST 240TH STREET,10463,400000,2017-06-22
445 WEST 240 STREET,10463,324250,2017-06-28
445 WEST 240TH STREET,10463,510000,2016-10-13
445 WEST 240 STREET,10463,402500,2016-12-29
445 WEST 240TH STREET,10463,445000,2016-12-23
445 WEST 240 STREET,10463,475000,2017-03-08
445 WEST 240TH STREET,10463,489000,2017-06-22
3220 FAIRFIELD AVENUE,10463,300000,2017-01-27
3536 CAMBRIDGE AVENUE,10463,599000,2017-05-18
3751 RIVERDALE AVE,10463,1080000,2017-05-12
3751 RIVERDALE AVENUE,10463,1100000,2017-05-30
3614 JOHNSON AVENUE,10463,465000,2017-06-06
3614 JOHNSON AVENUE,10463,830000,2016-10-19
3625 OXFORD AVENUE,10463,675000,2017-08-15
5775 MOSHOLU AVENUE,10471,160000,2016-10-20
5775 MOSHOLU AVENUE,10471,180000,2017-04-07
640 WEST 237 STREET,10463,909000,2016-12-30
640 WEST 237 STREET,10463,945000,2017-05-03
640 WEST 237TH STREET,10463,969500,2016-10-27
640 WEST 237TH STREET,10463,1078073,2017-05-04
640 WEST 237TH STREET,10463,1250000,2016-11-18
640 WEST 237TH STREET,10463,1800000,2017-01-12
640 WEST 237 STREET,10463,1212114,2017-04-06
4455 DOUGLAS AVENUE,10471,570000,2017-08-03
4455 DOUGLAS AVENUE,10471,750000,2017-08-08
4455 DOUGLAS AVENUE,10471,300000,2016-12-19
4455 DOUGLAS AVENUE,10471,774000,2016-09-01
"3636 FIELDSTON ROAD, 5J",10463,66938,2016-11-22
"3636 FIELDSTON ROAD, 5J",10463,185000,2017-03-24
"3636 FIELDSTON ROAD, 7B",10463,275000,2017-05-19
5700 MOSHOLU AVENUE,10471,1805000,2016-12-12
6661 BROADWAY,10471,1470000,2016-10-10
80 KNOLLS CRESCENT,0,147375,2016-12-30
80 KNOLLS CRESCENT,0,87000,2016-11-21
BROADWAY,0,60000,2016-11-10
205 WEST 262 STREET,0,5000,2016-10-10
6355 BROADWAY,10471,15000000,2017-04-07
720 WEST 231 STREET,10463,86375000,2017-07-10
2287 JOHNSON AVENUE,10463,33500,2017-06-16
1650 MAYFLOWER AVENUE,10461,404250,2017-04-14
2947 MIDDLETOWN ROAD,10461,375000,2017-05-22
1730 EDISON AVENUE,10461,385000,2017-07-31
1730 EDISON AVENUE,10461,436610,2016-12-02
3069 MIDDLETOWN RD,10461,455000,2016-09-14
1652 JARVIS AVENUE,10461,436000,2016-10-27
1830 HUTCHINSON RVR PY E,10461,439000,2016-11-15
1861 MULFORD AVENUE,10461,599000,2017-07-14
1851 MAYFLOWER AVENUE,10461,521000,2017-07-11
1966 MULFORD AVENUE,10461,300000,2016-11-04
2939 WILKINSON AVENUE,10461,340000,2016-09-08
2044 ST PAUL AVENUE,10461,355000,2017-01-20
2116 COLONIAL AVENUE,10461,535000,2017-03-08
2741 GIFFORD AVENUE,10465,299250,2017-03-06
2935 HASKIN STREET,10461,521000,2017-06-16
1132 EDISON AVENUE,10461,207000,2016-12-01
1237 PURITAN AVENUE,10461,230000,2016-11-01
2911 BAISLEY AVENUE,10461,230000,2017-04-27
1254 EDISON AVENUE,10461,380000,2017-07-07
1256 EDISON AVENUE,10461,350000,2016-09-22
1278B EDISON AVE,10461,475000,2017-04-12
2960 WATERBURY AVENUE,10461,430000,2016-09-07
3034 WATERBURY AVE,10461,280000,2017-03-02
1255 HOLLYWOOD AVENUE,10461,211500,2017-03-27
1371 BALCOM AVENUE,10461,485000,2016-10-17
1318 MAYFLOWER AVENUE,10461,485000,2017-06-27
1319 GILLESPIE AVENUE,10461,460000,2017-05-26
1319 GILLESPIE AVENUE,10461,290000,2016-10-26
2943 WATERBURY AVENUE,10461,395000,2016-10-04
2935 WATERBURY AVENUE,10461,407000,2017-06-13
3006 LASALLE AVENUE,10461,530000,2016-11-08
3087 WATERBURY AVENUE,10461,315000,2017-02-23
3209 BRUCKNER BOULEVARD,10461,375000,2016-11-15
1374 HOBART AVENUE,10461,525000,2017-01-10
3086 CODDINGTON AVENUE,10461,435000,2017-02-07
3257 BRUCKNER BLVD,10461,430000,2016-12-27
1430 EDWARDS AVENUE,10461,400000,2017-04-07
2908 HARRINGTON AVE,10461,269000,2017-03-21
1463 GEORGE STREET,10461,420000,2017-03-28
2837 WELLMAN AVENUE,10461,525000,2017-02-13
2837 WELLMAN AVENUE,10461,310000,2016-09-01
2869 WELLMAN AVENUE,10461,305000,2017-02-01
2862 ROEBLING AVENUE,10461,440000,2017-03-10
2879 ZULETTE AVENUE,10461,350000,2017-05-22
1513 CROSBY AVENUE,10461,515000,2017-03-09
1513 CROSBY AVENUE,10461,375000,2016-09-27
1434 HOBART AVENUE,10461,425000,2016-09-14
3331 BRUCKNER BOULEVARD,10461,225000,2016-12-28
2879 ROBERTS AVENUE,10461,590000,2016-11-30
3045 ROBERTS AVENUE,10461,769000,2017-02-28
1714 JARVIS AVENUE,10461,556500,2017-06-13
1740 JARVIS AVENUE,10461,400000,2017-08-02
1723 PARKVIEW AVENUE,10461,610000,2017-06-21
1826 HUTCHINSON RIVER PAR,10461,400000,2016-10-28
1880 HUTCHINSON RIVER PAR,10461,165000,2017-06-27
1843 MAYFLOWER AVENUE,10461,405000,2017-01-11
1817 MAYFLOWER AVENUE,10461,500000,2017-04-26
1815 MAYFLOWER AVENUE,10461,410000,2016-09-08
3143 WILLOW LANE,10461,425000,2017-06-05
1912 HUTCHINSON RVR PY E,10461,480000,2017-06-30
1914 MULFORD AVENUE,10461,500000,2017-04-07
1924 MAYFLOWER AVENUE,10461,305000,2017-03-23
1950 HOBART AVE,10461,540000,2017-05-12
2869 WILKINSON AVENUE,10461,470000,2016-09-08
2844 EAST 195TH STREET,10461,435000,2016-11-28
2058 MAYFLOWER AVE,10461,875000,2017-08-18
2874 EAST 196TH STREET,10461,475000,2016-10-18
2869 EAST 195 STREET,10461,400000,2017-07-27
2861 EAST 195 STREET,10461,440000,2017-07-27
2876 EAST 197TH STREET,10461,644000,2017-02-13
2137 CONTINENTAL AVE,10461,420000,2016-12-08
2040 HOBART AVENUE,10461,515000,2017-02-02
2042 HOBART AVENUE,10461,560000,2016-09-30
2130 CONTINENTAL AVENUE,10461,450000,2017-05-23
2115 BURR AVENUE,10461,870000,2017-05-10
2717 GIFFORD AVENUE,10465,300000,2016-12-01
2906 BAISLEY AVENUE,10461,775000,2017-01-30
1154 CROSBY AVENUE,10461,720000,2017-06-26
2904 PAINE STREET,10461,555000,2016-09-06
2951 BAISLEY AVENUE,10461,505000,2017-08-11
1277A HOBART AVENUE,10461,415000,2016-12-20
1260 HOBART AVENUE,10461,780000,2017-07-26
3139 BRUCKNER BLVD,10461,630000,2017-02-03
1324 VREELAND AVENUE,10461,660000,2017-06-01
1317 BALCOM AVE,10461,641000,2017-04-13
1368 BALCOM AVENUE,10461,655000,2016-12-30
1319 ELLISON AVENUE,10461,635000,2016-10-21
2828 LASALLE AVENUE,10461,765000,2017-03-31
2809 LASALLE AVENUE,10461,500000,2017-03-30
2903 LA SALLE AVENUE,10461,244500,2017-01-27
2876 CODDINGTON AVENUE,10461,710000,2016-11-14
1369 GILLESPIE AVENUE,10461,542500,2016-11-17
3219 BRUCKNER BLVD,10461,425000,2016-11-18
1352 GILLESPIE AVENUE,10461,629000,2017-06-20
1374 CROSBY AVENUE,10461,525000,2017-06-08
1361 HOBART AVENUE,10461,410000,2017-04-11
3034 CODDINGTON AVENUE,10461,505000,2017-06-14
1460 WILLIAM PLACE,10461,585000,2016-10-05
1462 WILLIAM PLACE,10461,500000,2016-10-04
2887 CODDINGTON AVENUE,10461,665000,2017-01-31
1512 MAYFLOWER AVENUE,10461,485000,2016-12-30
2891 DUDLEY AVE,10461,480000,2016-11-07
2825 WELLMAN AVENUE,10461,440000,2017-03-30
2815 WELLMAN AVE,10461,497000,2016-12-16
2842 ROEBLING AVENUE,10461,700000,2017-03-16
1591 MAYFLOWER AVENUE,10461,720000,2016-12-15
2892 ZULETTE AVENUE,10461,450000,2017-05-18
2896 ZULETTE AVENUE,10461,450000,2016-10-27
2894 ROEBLING AVENUE,10461,162240,2017-08-30
2928 HARRINGTON AVENUE,10461,565000,2017-03-20
1403 GILLESPIE AVENUE,10461,565000,2017-05-18
1404 GILLESPIE AVENUE,10461,390000,2017-03-27
2976 DUDLEY AVENUE,10461,240000,2017-08-14
1532 PLYMOUTH AVENUE,10461,540000,2017-08-14
1427 HOBART AVENUE,10461,287000,2017-02-21
1413 MERRY AVE,10461,533000,2017-02-10
1420 HOBART AVENUE,10461,468888,2017-01-09
1407 HOLLYWOOD AVENUE,10461,535000,2016-09-07
1524 JARVIS,10461,810000,2017-02-07
1516 WATERSTONE DRIVE,10461,368000,2017-07-27
3405 BRUCKNER BOULEVARD,0,790000,2017-03-16
2900 ROBERTS AVE,10461,675000,2017-08-07
2900 ROBERTS AVENUE,10461,575000,2017-08-07
1701 MAHAN AVE,10461,690000,2016-11-28
2805 LAURIE AVENUE,10461,545000,2017-07-21
1840 MAYFLOWER AVENUE,10461,300000,2017-02-21
2855 BUHRE AVENUE,10461,758000,2017-07-31
1836 PILGRIM AVE,10461,323534,2016-10-17
1946 HOBART AVENUE,10461,990000,2017-05-16
3118A WILKINSON AVENUE,10461,525000,2016-12-02
2864 EAST 196TH STREET,10461,688000,2016-09-30
2705 GIFFORD AVENUE,10465,550000,2017-05-15
1161 EDISON AVENUE,10461,858244,2017-04-28
2905 PAINE STREET,10461,500000,2016-11-17
1281 EDISON AVENUE,10461,625000,2016-11-07
2947 BAISLEY AVENUE,10461,350000,2016-10-06
1301 BALCOM AVENUE,10461,665000,2016-09-08
1314 CROSBY AVENUE,10461,625000,2016-09-16
2866 DUDLEY AVENUE,10461,499890,2017-07-19
2950 DUDLEY AVENUE,10461,780500,2016-09-28
2946 MIDDLETOWN ROAD,10461,470000,2017-02-28
EDISON AVENUE,10461,15000,2016-11-07
1336 ELLISON AVENUE,0,160000,2017-07-17
3515 BRUCKNER BLVD,10461,765000,2016-09-06
1856 MAYFLOWER AVE,10461,612000,2016-09-06
1819 PARKVIEW AVE,10461,710000,2016-12-21
1936 EDISON AVENUE,10461,820000,2016-11-04
1426 EDWARDS AVENUE,10461,746931,2017-06-19
2875 ROEBLING AVENUE,10461,450000,2017-07-31
1508 PLYMOUTH AVENUE,10461,420000,2016-11-07
3555 BRUCKNER BOULEVARD,10461,24800000,2016-09-27
"3121 MIDDLETOWN ROAD, 9H",10461,98000,2017-02-07
"3121 MIDDLETOWN ROAD, 12H",10461,117000,2017-04-18
"3121 MIDDLETOWN ROAD, 11F",10461,103000,2017-06-06
"3121 MIDDLETOWN ROAD, 6E",10461,72000,2017-06-21
"3121 MIDDLETOWN ROAD, 12D",10461,85000,2017-08-22
"2015 ST PAUL AVENUE, 5G",10461,127000,2016-10-25
"2015 ST PAUL AVENUE, 2K",10461,75000,2017-03-29
"1874 PELHAM PARKWAY SOUTH, 5H",10461,162000,2016-10-06
"1874 PELHAM PARKWAY SOUTH, 6M",10461,153000,2016-11-22
"1910 PELHAM PARKWAY SOUTH, 2F",10461,137500,2016-09-22
"1910 PELHAM PARKWAY SOUTH, 2G/2H",10461,359000,2017-01-24
"3321 BRUCKNER BOULEVARD, 6J",10461,179900,2016-11-10
"3321 BRUCKNER BLVD, 1H",10461,145000,2017-05-02
2013 COLONIAL AVENUE,10461,2784765,2016-12-22
3182 EAST TREMONT AVENUE,10461,575000,2017-04-28
3250 WESTCHESTER AVENUE,10461,33000000,2016-11-14
3394 EAST TREMONT AVENUE,10461,750000,2017-02-07
2931 BRUCKNER BOULEVARD,10461,782990,2017-04-12
3155/3159 BRUCKNER BOULEVARD,10461,865000,2017-04-19
212 UNDERHILL AVENUE,10473,110000,2017-01-19
602 HARDING PARK,10473,429000,2017-04-21
206 HARDING PARK,10473,170000,2017-03-29
1330 HARDING PARK,10473,514000,2016-09-20
1320 HARDING PARK,10473,191100,2017-01-09
1530 HARDING PARK,10473,291500,2017-07-13
1423 HARDING PARK,10473,75000,2017-02-02
1627 HARDING PARK,10473,265000,2016-11-04
260 UNDERHILL AVENUE,10473,160000,2016-11-18
1928 O'BRIEN AVE.,10473,390000,2017-08-24
2011 GILDERSLEEVE AVENUE,10473,202500,2017-01-31
236 BETTS AVENUE,10473,458784,2017-06-12
338 THIERIOT AVENUE,10473,390000,2017-05-10
303 UNDERHILL AVENUE,10473,250000,2017-04-11
303 UNDERHILL AVENUE,10473,250000,2016-09-26
312 NEWMAN,10473,455000,2016-11-29
324 STEPHENS AVENUE,10473,95000,2017-05-16
420 ST. LAWRENCE AVENUE,10473,185000,2017-01-18
420 ST. LAWRENCE AVENUE,10473,45000,2016-10-14
426 ST LAWRENCE AVENUE,10473,45000,2017-01-19
433 BEACH AVENUE,10473,20000,2017-05-28
428 BEACH AVENUE,10473,371500,2016-12-22
434 BEACH AVENUE,10473,405000,2017-07-17
423 THIERIOT AVENUE,10473,390000,2017-02-17
1904 LACOMBE AVENUE,10473,410000,2017-02-23
1767 LACOMBE AVENUE,10473,420000,2016-12-21
522 ST LAWRENCE AVENUE,10473,454000,2017-05-12
1907 LACOMBE AVENUE,10473,232000,2016-10-17
534 BOLTON AVENUE,10473,245000,2016-10-07
1787 RANDALL,10473,382000,2017-04-06
628 ST LAWRENCE AVENUE,10473,350000,2017-07-17
630 ST LAWRENCE AVENUE,10473,377000,2017-05-26
609 BEACH AVENUE,10473,347295,2017-01-06
955 ELDER AVENUE,10473,313627,2017-04-05
927 ELDER AVE,10473,419000,2017-03-02
927 ELDER AVE,10473,219000,2016-10-26
1157 UNDERHILL AVENUE,10472,440000,2017-01-20
1124 UNDERHILL AVENUE,10472,225000,2017-06-15
1123 WHITE PLAINS ROAD,10472,385000,2017-05-19
1123 WHITE PLAINS ROAD,10472,355743,2017-03-20
1111 WHITE PLAINS ROAD,10472,242000,2017-02-03
1233 LELAND AVENUE,10472,365000,2016-09-09
1210 MANOR AVE,10472,375000,2017-02-03
1234 MANOR AVENUE,10472,432000,2017-03-03
1347 CROES AVE,10472,410000,2017-02-21
409 HARDING PARK,10473,370000,2016-12-16
623 HARDING PARK,10473,539000,2016-12-30
109 COVE COURT,10473,585493,2017-04-06
108 COVE COURT,10473,524398,2016-09-29
102 DOLPHIN COURT,10473,575311,2016-11-30
111 LIGHTHOUSE COURT,10473,364026,2017-07-07
109 LIGHTHOUSE COURT,10473,364026,2017-04-28
107 LIGHTHOUSE COURT,10473,364026,2017-04-28
105 LIGHTHOUSE COURT,10473,364026,2017-07-07
103 LIGHTHOUSE COURT,10473,364026,2017-06-26
101 LIGHTHOUSE COURT,10473,598221,2017-03-09
110 LIGHTHOUSE COURT,10473,585493,2017-04-27
108 LIGHTHOUSE COURT,10473,497874,2017-03-28
106 LIGHTHOUSE COURT,10473,544763,2017-03-27
104 LIGHTHOUSE COURT,10473,585493,2017-04-06
102 LIGHTHOUSE COURT,10473,585493,2017-04-21
100 LIGHTHOUSE COURT,10473,590330,2017-04-18
91 HORIZON COURT,10473,550999,2017-05-30
115 HORIZON COURT,10473,487000,2017-06-30
101 COVE COURT,10473,511670,2017-08-24
103 COVE COURT,10473,565128,2016-10-28
107 COVE COURT,10473,343746,2016-10-21
156 STEPHENS AVENUE,10473,475000,2017-03-10
156 STEPHENS AVENUE,10473,335000,2016-09-08
213 WHITE PLAINS ROAD,10473,482500,2017-04-27
213 WHITE PLAINS ROAD,10473,500,2016-11-21
209 WHITE PLAINS ROAD,10473,230000,2017-04-06
1903 GILDERSLEEVE AVENUE,10473,555000,2016-10-14
2 STANTON COURT,10473,355184,2017-04-05
221 NEWMAN AVENUE,10473,465000,2017-05-04
221 NEWMAN AVENUE,10473,200000,2016-12-29
1973 GILDERSLEEVE AVENUE,10473,448800,2017-06-23
220A STEPHENS AVENUE,10473,530000,2017-06-15
216 HUSSON AVENUE,10473,317586,2017-04-04
339 TAYLOR AVENUE,10473,465000,2017-04-07
340 TAYLOR AVENUE,10473,348000,2017-06-16
355 THIERIOT AVENUE,10473,327750,2017-04-03
353 THIERIOT AVENUE,10473,450000,2016-11-21
339 LELAND AVENUE,10473,580000,2017-04-04
329 UNDERHILL AVENUE,10473,355000,2017-04-05
317 UNDERHILL AVENUE,10473,384000,2016-09-27
1754 LACOMBE AVENUE,10473,500,2017-01-27
481 COMMONWEALTH AVE,10473,480000,2016-12-05
477 COMMONWEALTH AVENUE,10473,617410,2016-10-27
1785 PATTERSON AVENUE,10473,280000,2017-05-30
1785 PATTERSON AVENUE,10473,162000,2017-05-22
434 ST LAWRENCE AVENUE,10473,420000,2016-12-21
450 BEACH AVENUE,10473,650000,2017-03-10
450 BEACH AVENUE,10473,225000,2016-10-21
1812 LACOMBE AVENUE,10473,490000,2016-09-16
410 THIERIOT AVENUE,10473,499999,2017-08-02
544 COMMONWEALTH AVENUE,10473,575000,2017-08-09
551 ST LAWRENCE AVENUE,10473,300000,2017-03-21
524 BEACH AVENUE,10473,590000,2017-05-17
522 LELAND AVENUE,10473,325000,2016-10-17
1893 LACOMBE AVENUE,10473,374911,2017-04-10
637 COMMONWEALTH AVE,10473,250000,2017-06-11
655 SOUNDVIEW AVE,10473,675000,2017-05-15
602 BEACH AVENUE,10473,290000,2017-02-22
639 LELAND AVENUE,10473,599000,2017-04-21
1877 RANDALL AVENUE,10473,270000,2016-10-12
725 ROSEDALE AVENUE,10473,293400,2017-03-09
747 BEACH AVENUE,10473,549000,2017-03-20
700 BEACH AVENUE,10473,425000,2017-03-24
740 TAYLOR AVENUE,10473,645000,2017-06-23
740 TAYLOR AVENUE,10473,340000,2016-10-13
747 THIERIOT AVENUE,10473,470000,2016-09-23
941 WHEELER,10473,437500,2017-05-17
941 WHEELER,10473,199500,2016-12-21
1838 BRUCKNER BLVD,10473,470000,2017-05-09
1067 COLGATE AVENUE,10472,335000,2017-07-24
