ADDRESS,ZIP CODE,SALE PRICE,SALE DATE
100 AVENUE A,10009,1578287,2016-12-06
100 AVENUE A,10009,1400093,2017-01-30
525 EAST 11TH   STREET,10009,4552375,2016-11-08
525 EAST 11TH STREET,10009,750000,2017-03-02
525 EAST 11TH STREET,10009,2385000,2017-05-08
536 EAST 13TH   STREET,10009,1400093,2017-01-05
536 EAST 13TH   STREET,10009,1478499,2016-10-11
624 EAST 9TH   STREET,10009,3300000,2016-11-15
165 AVENUE B,10009,7215000,2017-01-30
183 AVENUE B,10009,4750000,2017-04-03
296 EAST 2ND STREET,10009,805000,2016-09-06
296 EAST 2ND   STREET,10009,735000,2016-11-28
753 EAST 5TH   STREET,10009,810000,2016-11-14
211-213 EAST 2ND STREET,10009,3035000,2017-04-20
619 EAST 11 STREET,10009,630000,2017-01-20
619 EAST 11TH ST.,10009,680000,2017-05-05
643 EAST 11TH STREET,10009,995000,2017-07-18
549 EAST 11TH STREET,10009,494500,2017-08-04
525 EAST 12TH STREET,10009,1875000,2017-05-15
209 EAST 2ND   STREET,10009,2700000,2017-07-31
67 AVENUE C,10009,1500000,2017-06-07
"99 AVENUE B, 2A",10009,635000,2016-11-02
"99 AVENUE B, 3A",10009,700000,2017-04-19
"99 AVENUE B, 6BC",10009,1100000,2017-06-12
"99 AVENUE B, 6ED",10009,1900000,2017-08-07
"186 EAST 2ND   STREET, 8",10009,485000,2017-07-11
"50 AVENUE A, 2D",10009,1175000,2017-02-01
115 AVENUE C,10009,3700000,2016-09-28
310 EAST HOUSTON STREET,10002,10800000,2017-03-10
250 EAST HOUSTON STREET,10002,52625000,2016-10-19
224 WEST 22ND   STREET,10011,7425000,2016-12-30
218 WEST 20TH   STREET,10011,7750000,2017-04-17
444 WEST 22ND STREET,10011,8300000,2017-02-02
121 WEST 15TH STREET,10011,2850000,2017-04-20
253 10TH   AVENUE,10001,16000000,2016-09-08
459 WEST 24TH   STREET,10011,5950000,2016-10-26
318 WEST 20TH STREET,10011,7375000,2017-02-06
348 WEST 22ND STREET,10011,8000000,2017-02-06
256 WEST 15TH STREET,10011,14100000,2017-03-23
219 WEST 15TH STREET,10011,1583840,2017-08-31
219 WEST 15TH STREET,10011,416790,2017-08-31
219 WEST 15TH STREET,10011,630370,2017-08-31
222 WEST 21ST   STREET,10011,29400000,2016-11-10
149 WEST 14TH STREET,10011,6450000,2017-02-02
147 WEST 14TH STREET,10011,5500000,2017-02-02
145 WEST 14TH STREET,10011,5750000,2017-02-02
148 WEST 15TH   STREET,10011,3485000,2016-12-05
559 WEST 23RD   STREET,10011,4600000,2016-11-29
155 WEST 18TH,10011,2341975,2016-10-28
"434 WEST 20TH STREET, 8",10011,1835000,2017-06-06
"452 WEST 20TH, THIRD",10011,700000,2016-12-23
"409 WEST 21ST STREET, 4",10011,1587500,2017-07-31
"405 WEST 21 STREET, 1F",10011,310000,2016-11-21
"405 WEST 21ST STREET, 3F",10011,550000,2017-01-27
"453 WEST 22ND STREET, 3R",10011,354500,2016-09-26
"429 WEST 22ND STREET, 4-G",10011,1750000,2017-01-25
"411 WEST 22ND STREET, 1R",10011,485000,2017-02-21
"411 WEST 22ND   STREET, 1F",10011,1425000,2017-02-24
"436 WEST 23RD   STREET, 16F",10011,705000,2016-10-06
"438 WEST 23RD STREET, A",10011,2575000,2017-08-25
"446 WEST 23RD STREET, C",10011,2200000,2016-09-07
"458-460 WEST 23RD STREET, 4A",10011,1525000,2016-11-30
"443 WEST 24TH STREET, H",10011,1750000,2017-03-01
"408 WEST 25TH STREET, 2FW",10001,289000,2016-10-31
"410 WEST 25TH   STREET, 2B",10001,670000,2016-10-28
"410 WEST 25TH STREET, 4A",10001,699000,2016-11-16
"326 WEST 17TH STREET, 2W",10011,180000,2016-11-30
"328 WEST 17TH STREET, 5E",10011,1237500,2016-11-18
"330 WEST 17TH STREET, 4W",10011,1300000,2017-06-19
"334 WEST 17TH   STREET, BE",10011,592500,2016-09-29
"310 WEST 18TH   STREET, 5B",10011,311000,2016-12-29
"310 WEST 18TH STREET, 1CGDN",10011,770000,2017-04-03
"310 WEST 18TH   STREET, 3A",10011,560000,2017-06-19
"334 WEST 19TH STREET, PHB",10011,2000000,2017-04-10
"338 WEST 19TH STREET, 1A",10011,610000,2016-11-23
"365 WEST 19TH STREET, 2R",10011,590000,2016-12-21
"365 WEST 19TH STREET, 3R",10011,1700000,2017-08-09
"350 WEST 20TH STREET, 3R",10011,590000,2017-06-29
"360 WEST 21ST, 1A",10011,441975,2016-12-27
"360 WEST 21ST STREET, 4L",10011,617777,2017-06-27
360 W 21,10011,644000,2017-06-28
"337 WEST 20TH STREET, 4M",10011,1100000,2017-05-12
"335 WEST 20TH STREET, BF",10011,367500,2017-02-15
309 WEST 20TH   STREET,10011,282000,2016-10-19
"309 WEST 20TH STREET, 4R",10011,710000,2016-09-23
"309 WEST 20TH   STREET, BSMNT",10011,282000,2016-10-19
"335 WEST 21ST STREET, RW",10011,1280000,2017-02-14
"335 WEST 21ST STREET, 2RE",10011,455000,2017-07-10
"333 WEST 21ST STREET, 4RW",10011,455000,2016-11-17
"333 WEST 21ST STREET, 4FW",10011,685000,2017-03-06
"333 WEST 21ST STREET, 4RE",10011,550000,2017-06-30
"325 WEST 21ST STREET, 6",10011,622500,2016-12-19
"325 WEST 21ST STREET, 12A17",10011,1350000,2017-07-26
"322 WEST 22ND STREET, 4",10011,999000,2017-06-06
"334 WEST 22ND STREET, 26",10011,490000,2017-02-01
"334 WEST 22ND STREET, 18",10011,690000,2017-03-01
"334 WEST 22ND STREET, 6",10011,999000,2017-03-22
"334 WEST 22ND STREET, 24",10011,470000,2017-03-08
"334 WEST 22ND STREET, 1",10011,434000,2017-05-17
"361 WEST 22ND STREET, 2",10011,1085000,2016-09-14
"354 WEST 23RD STREET, 4B",10011,640000,2017-04-26
"356 WEST 23RD STREET, 3C",10011,440000,2016-12-21
"234 WEST 16TH STREET, 4D",10011,620000,2016-09-08
"234 WEST 16TH STREET, 3C",10011,640000,2016-09-27
"234 WEST 16TH   STREET, 3D",10011,625000,2017-04-27
"231 WEST 16TH STREET, 1ER",10011,1080000,2016-11-16
"227 WEST 16TH STREET, 1WR",10011,659000,2016-12-01
"229 WEST 16TH STREET, 1D",10011,500000,2016-12-01
"227 WEST 16TH STREET, 1E",10011,460000,2017-01-12
"227 WEST 16TH STREET, 5W",10011,480000,2017-08-31
"228 WEST 21ST STREET, 8",10011,2495000,2017-01-23
"228 WEST 21 STREET, 5",10011,1625000,2017-05-03
"252 WEST 21ST   STREET, 3E",10011,765000,2017-01-27
"207 WEST 21ST STREET, 6",10011,1775000,2017-02-17
"260 WEST 22ND   STREET, 3F",10011,730000,2017-01-27
"260 WEST 22ND STREET, 4FR",10011,2660000,2017-06-22
"264 WEST 22ND STREET, 5",10011,500000,2017-07-12
"264 WEST 22ND STREET, 10",10011,540000,2017-08-25
"261 WEST 22ND, 14",10011,1375000,2016-09-23
"261 WEST 22ND STREET, 1",10011,827500,2016-10-17
"261 W 22 ST, 5",10011,582500,2016-11-04
"261 WEST 22ND STREET, 29",10011,950000,2017-04-26
"127 WEST 15TH STREET, 3F",10011,750000,2016-10-07
"127 WEST 15TH STREET, 2F",10011,583000,2017-02-02
"127 WEST 15TH STREET, 2R",10011,735000,2017-06-05
"148 WEST 16TH   STREET, 1",10011,1500000,2017-01-17
"148 WEST 16TH STREET, 8",10011,880000,2017-06-30
"133 W 24TH ST, 4",10011,2450000,2017-04-13
